relatedPlaintextFile,mainDocment,fundstelle,proclamation_nr,title,short,abbreviation,issuing_office,issuing_date,outline_nr,date,leadership,proclamation_sheet,proclamationType,attachments
"mbl-2024-562.txt","mbl-2024-562.pdf","Nds. MBl. - 2024, Nr. 562","562","Richtlinie über die Gewährung von Billigkeitsleistungen zum Ausgleich nicht gedeckter Ausgaben im öffentlichen Personennahverkehr im Zusammenhang mit dem Deutschlandticket im Jahr 2025 in Niedersachsen (Richtlinie Billigkeitsleistungen Deutschlandticket ÖPNV 2025)","","","","2024-11-11T23:00:00.000Z","93200","2024-11-15T08:38:31.817Z","MW","Nds. MBl.","Erlass","67370808065558776e2bb468_mbl-2024-562.pdf"
"mbl-2024-561.txt","mbl-2024-561.pdf","Nds. MBl. - 2024, Nr. 561","561","Beglaubigung von Anträgen auf Vereinigung und Teilung von Grundstücken","","","","2024-10-09T22:00:00.000Z","21160","2024-11-14T06:43:08.377Z","MI","Nds. MBl.","Runderlass","67359bb73f54a5c78981e9b1_mbl-2024-561.pdf"
"mbl-2024-560.txt","mbl-2024-560.pdf","Nds. MBl. - 2024, Nr. 560","560","Konsuln in der Bundesrepublik Deutschland","","","","2024-11-10T23:00:00.000Z","","2024-11-14T06:22:40.715Z","StK","Nds. MBl.","Bekanntmachung","673596fb3f54a5c78981e9ae_mbl-2024-560.pdf"
"mbl-2024-559.txt","mbl-2024-559.pdf","Nds. MBl. - 2024, Nr. 559","559","Umzugskostenrecht und Trennungsgeldrecht; Anwendung des § 120 NBG","","","","2024-11-13T23:00:00.000Z","20444","2024-11-14T06:14:28.637Z","MF","Nds. MBl.","Gem. Runderlass","6735948e3f54a5c78981e9ab_mbl-2024-559.pdf"
"mbl-2024-558.txt","mbl-2024-558.pdf","Nds. MBl. - 2024, Nr. 558","558","Richtlinie über die Gewährung von Zuwendungen zur Förderung von familienunterstützenden Maßnahmen (Richtlinie Familienförderung)","","","","2024-11-05T23:00:00.000Z","21147","2024-11-14T06:03:47.398Z","MS","Nds. MBl.","Erlass","673592893f54a5c78981e9a8_mbl-2024-558.pdf"
"mbl-2024-557.txt","mbl-2024-557.pdf","Nds. MBl. - 2024, Nr. 557","557","Gewährung besoldungsrechtlicher Aufwandsentschädigungen im Bereich der Kommunalverwaltung","","","","2024-11-06T23:00:00.000Z","20441","2024-11-14T05:52:27.230Z","MI","Nds. MBl.","Gem. Runderlass","67358ff73f54a5c78981e9a5_mbl-2024-557.pdf"
"mbl-2024-556.txt","mbl-2024-556.pdf","Nds. MBl. - 2024, Nr. 556","556","Genehmigungsverfahren nach dem BImSchG; Öffentliche Bekanntmachung (Norddeutsche Flüssigzucker GmbH & Co. KG, Werk Nordstemmen)","","","","2024-11-12T23:00:00.000Z","","2024-11-13T07:49:39.480Z","GAA Hannover","Nds. MBl.","Bekanntmachung","673457d24d180222b1a141eb_mbl-2024-556.pdf"
"mbl-2024-555.txt","mbl-2024-555.pdf","Nds. MBl. - 2024, Nr. 555","555","Bekanntmachung über die bundeseinheitliche Praxis bei der Überwachung der Emissionen aus Kleinfeuerungsanlagen","","","","2024-11-12T23:00:00.000Z","","2024-11-13T07:49:37.052Z","GAA Hildesheim","Nds. MBl.","Bekanntmachung","673457774d180222b1a141e8_mbl-2024-555.pdf"
"mbl-2024-554.txt","mbl-2024-554.pdf","Nds. MBl. - 2024, Nr. 554","554","Entscheidung nach dem BImSchG; Öffentliche Bekanntmachung (Graalmann GmbH, 26810 Westoverledingen)","","","","2024-11-03T23:00:00.000Z","","2024-11-13T07:49:34.492Z","GAA Oldenburg","Nds. MBl.","Bekanntmachung","6734573d4d180222b1a141e5_mbl-2024-554.pdf"
"mbl-2024-553.txt","mbl-2024-553.pdf","Nds. MBl. - 2024, Nr. 553","553","Genehmigungsverfahren nach dem BImSchG; Öffentliche Bekanntmachung (O-I Germany GmbH & Co. KG, Werk Holzminden)","","","","2024-11-12T23:00:00.000Z","","2024-11-13T07:49:24.524Z","GAA Hannover","Nds. MBl.","Bekanntmachung","673456f14d180222b1a141e2_mbl-2024-553.pdf"
"mbl-2024-552.txt","mbl-2024-552.pdf","Nds. MBl. - 2024, Nr. 552","552","Vorhaben nach dem Energiewirtschaftsgesetz; Planfeststellungsverfahren für die Errichtung einer Wasserstoff-Verbindungsleitung zwischen Hamburg-Moorburg und Niedersachsen-Leversen (Hamburger Energienetze GmbH)","","","","2024-10-29T23:00:00.000Z","","2024-11-13T07:49:22.156Z","LBEG","Nds. MBl.","Bekanntmachung","673456aa4d180222b1a141de_mbl-2024-552.pdf"
"mbl-2024-551.txt","mbl-2024-551.pdf","Nds. MBl. - 2024, Nr. 551","551","Genehmigungsverfahren nach dem BImSchG; Öffentliche Bekanntmachung (IVH Industriepark und Verwertungszentrum Harz GmbH, Goslar)","","","","2024-11-12T23:00:00.000Z","","2024-11-13T07:49:15.072Z","GAA Braunschweig","Nds. MBl.","Bekanntmachung","673456644d180222b1a141db_mbl-2024-551.pdf"
"mbl-2024-550.txt","mbl-2024-550.pdf","Nds. MBl. - 2024, Nr. 550","550","Genehmigungsverfahren nach dem BImSchG; Öffentliche Bekanntmachung (Planet Production GmbH, Dortmund)","","","","2024-11-12T23:00:00.000Z","","2024-11-13T07:49:10.876Z","GAA Hannover","Nds. MBl.","Bekanntmachung","673455004d180222b1a141d8_mbl-2024-550.pdf"
"mbl-2024-549.txt","mbl-2024-549.pdf","Nds. MBl. - 2024, Nr. 549","549","Genehmigungsverfahren nach dem BImSchG; Öffentliche Bekanntmachung (EWE HYDROGEN GmbH, Emden)","","","","2024-11-12T23:00:00.000Z","","2024-11-13T07:49:08.208Z","GAA Oldenburg","Nds. MBl.","Bekanntmachung","673454bf4d180222b1a141d5_mbl-2024-549.pdf"
"mbl-2024-548.txt","mbl-2024-548.pdf","Nds. MBl. - 2024, Nr. 548","548","Auslandsreisekostenrecht; Neufestsetzung der Auslandstage- und Auslandsübernachtungsgelder ab 01.01.2025","","","","2024-11-11T23:00:00.000Z","20444","2024-11-12T09:11:13.411Z","MF","Nds. MBl.","Runderlass","67331b86ad5e58eb1168972f_mbl-2024-548.pdf"
"mbl-2024-547.txt","mbl-2024-547.pdf","Nds. MBl. - 2024, Nr. 547","547","Einführung in die Laufbahnaufgaben nach dem abgeschlossenen Studiengang „Öffentliche Verwaltung“ an der Hochschule Osnabrück","","","","2024-10-24T22:00:00.000Z","20411","2024-11-12T08:54:46.299Z","MI","Nds. MBl.","Runderlass","673317acad5e58eb1168972c_mbl-2024-547.pdf"
"mbl-2024-546.txt","mbl-2024-546.pdf","Nds. MBl. - 2024, Nr. 546","546","Durchführung des Gemeindeverkehrsfinanzierungsgesetzes (GVFG)  i. d. F. der Bekanntmachung vom 13.3.1972 (BGBl. I S. 501)","","","","2024-11-05T23:00:00.000Z","92200000050001","2024-11-12T08:45:11.684Z","MW","Nds. MBl.","Runderlass","67331562ad5e58eb11689729_mbl-2024-546.pdf"
"mbl-2024-545.txt","mbl-2024-545.pdf","Nds. MBl. - 2024, Nr. 545","545","Beschäftigung von Dozentinnen und Dozenten an der Polizeiakademie Niedersachsen in den Studiengebieten 1 bis 4","","","","2024-11-11T23:00:00.000Z","20462","2024-11-12T06:27:05.186Z","MI","Nds. MBl.","Erlass","6732f50aad5e58eb11689726_mbl-2024-545.pdf"
"mbl-2024-544.txt","mbl-2024-544.pdf","Nds. MBl. - 2024, Nr. 544","544","Umsatzsteuerrechtliche Behandlung von Amtshandlungen und Leistungen der Gutachterausschüsse und des Oberen Gutachterausschusses für Grundstückswerte","","","","2024-11-04T23:00:00.000Z","21160","2024-11-12T06:16:54.427Z","MI","Nds. MBl.","Runderlass","6732f2adad5e58eb11689723_mbl-2024-544.pdf"
"mbl-2024-543.txt","mbl-2024-543.pdf","Nds. MBl. - 2024, Nr. 543","543","Erfassung und statistische Auswertung des Unfallgeschehens von Beamtinnen und Beamten","","","","2024-10-28T23:00:00.000Z","20442","2024-11-12T06:04:30.159Z","MF","Nds. MBl.","Runderlass","6732efb0ad5e58eb11689720_mbl-2024-543.pdf"
"mbl-2024-542.txt","mbl-2024-542.pdf","Nds. MBl. - 2024, Nr. 542","542","Richtlinien über die Gewährung von Zuwendungen zur Förderung der berufsbegleitenden Qualifizierung für pädagogische Fachkräfte zur Praxismentorin oder zum Praxismentor in Kindertageseinrichtungen sowie zur Förderung der Zusammenarbeit zwischen Kindertageseinrichtungen und ausbildenden Schulen durch regionale Vernetzungstagungen (RL Praxismentoring und Vernetzung für Kitas)","","","","2024-11-11T23:00:00.000Z","21133","2024-11-12T05:47:58.555Z","MK","Nds. MBl.","Erlass","6732ebe0ad5e58eb1168971d_mbl-2024-542.pdf"
"mbl-2024-541.txt","mbl-2024-541.pdf","Nds. MBl. - 2024, Nr. 541","541","Zusammenarbeit zwischen den für die Lebensmittelüberwachung und den Öffentlichen Gesundheitsdienst zuständigen Behörden beim Management lebensmittelbedingter Krankheitsausbrüche","","","","2024-11-05T23:00:00.000Z","78560","2024-11-11T08:30:01.050Z","ML","Nds. MBl.","Gem. Runderlass","6731c02cf27cc9789806867d_mbl-2024-541.pdf"
